FileId,WarningFlag,FileName,DirectoryCount,FileCategory
137,1,TESTHOST.NET472.X86.EXE,6,2
138,1,TESTHOST.NET48.ARM64.EXE,6,2
139,1,TESTHOST.NET48.EXE,6,2
140,1,TESTHOST.NET48.X86.EXE,6,2
141,1,TESTHOST.X86.EXE,6,2
142,1,APPHOST.EXE,6,2
143,1,DUMPMINITOOL.EXE,6,2
144,1,DUMPMINITOOL.X86.EXE,6,2
145,1,DATACOLLECTOR.ARM64.EXE,6,2
146,1,DATACOLLECTOR.EXE,6,2
147,1,TESTHOST.ARM64.EXE,6,2
148,1,TESTHOST.EXE,6,2
149,1,TESTHOST.NET452.ARM64.EXE,6,2
150,1,TESTHOST.NET452.EXE,6,2
151,1,TESTHOST.NET452.X86.EXE,6,2
152,1,TESTHOST.NET46.ARM64.EXE,6,2
153,1,TESTHOST.NET46.EXE,6,2
154,1,TESTHOST.NET46.X86.EXE,6,2
155,1,TESTHOST.NET461.ARM64.EXE,6,2
156,1,TESTHOST.NET461.EXE,6,2
157,1,TESTHOST.NET461.X86.EXE,6,2
158,1,TESTHOST.NET462.ARM64.EXE,6,2
159,1,TESTHOST.NET462.EXE,6,2
160,1,TESTHOST.NET462.X86.EXE,6,2
161,1,TESTHOST.NET47.ARM64.EXE,6,2
162,1,TESTHOST.NET47.EXE,6,2
163,1,TESTHOST.NET47.X86.EXE,6,2
164,1,TESTHOST.NET471.ARM64.EXE,6,2
165,1,TESTHOST.NET471.EXE,6,2
166,1,TESTHOST.NET471.X86.EXE,6,2
167,1,TESTHOST.NET472.ARM64.EXE,6,2
168,1,TESTHOST.NET472.EXE,6,2
169,1,TESTHOST.NET472.X86.EXE,6,2
170,1,TESTHOST.NET48.ARM64.EXE,6,2
171,1,TESTHOST.NET48.EXE,6,2
172,1,TESTHOST.NET48.X86.EXE,6,2
173,1,TESTHOST.X86.EXE,6,2
174,1,CREATEDUMP.EXE,6,2
175,1,CREATEDUMP.EXE,6,2
176,0,FAR.EXE,3,2
177,0,RESTOREOLDPLUGINSETTINGS.CMD,3,2
178,0,SAVEOLDPLUGINSETTINGS.CMD,3,2
179,0,GIT-BASH.EXE,3,2
180,0,GIT-CMD.EXE,3,2
181,0,UNINS000.EXE,3,2
182,0,BASH.EXE,4,2
183,0,GIT.EXE,4,2
184,0,SH.EXE,4,2
185,0,GIT.EXE,4,2
186,0,GIT-GUI.EXE,4,2
187,0,GITK.EXE,4,2
188,0,GIT-LFS.EXE,4,2
189,0,SCALAR.EXE,4,2
190,0,START-SSH-AGENT.CMD,4,2
191,0,START-SSH-PAGEANT.CMD,4,2
192,0,ACOUNTRY.EXE,5,2
193,0,ADIG.EXE,5,2
194,0,AHOST.EXE,5,2
195,0,ANTIWORD.EXE,5,2
196,0,ATLASSIAN.BITBUCKET.UI.EXE,5,2
197,0,BLOCKED-FILE-UTIL.EXE,5,2
198,0,BROTLI.EXE,5,2
199,0,BUNZIP2.EXE,5,2
200,0,BZCAT.EXE,5,2
201,0,BZIP2.EXE,5,2
202,0,BZIP2RECOVER.EXE,5,2
203,0,CONNECT.EXE,5,2
204,0,CREATE-SHORTCUT.EXE,5,2
205,0,CURL.EXE,5,2
206,0,EDIT_TEST.EXE,5,2
207,0,EDIT_TEST_DLL.EXE,5,2
208,0,ENVSUBST.EXE,5,2
209,0,GETTEXT.EXE,5,2
210,0,GIT.EXE,5,2
211,0,GIT-ASKPASS.EXE,5,2
212,0,GIT-ASKYESNO.EXE,5,2
213,0,GIT-CREDENTIAL-HELPER-SELECTOR.EXE,5,2
214,0,GIT-CREDENTIAL-MANAGER.EXE,5,2
215,0,GIT-CREDENTIAL-MANAGER-CORE.EXE,5,2
216,0,GIT-CREDENTIAL-MANAGER-UI.EXE,5,2
217,0,GITHUB.UI.EXE,5,2
218,0,GITLAB.UI.EXE,5,2
219,0,GIT-LFS.EXE,5,2
220,0,GIT-RECEIVE-PACK.EXE,5,2
221,0,GIT-UPLOAD-ARCHIVE.EXE,5,2
222,0,GIT-UPLOAD-PACK.EXE,5,2
223,0,LZMADEC.EXE,5,2
224,0,LZMAINFO.EXE,5,2
225,0,ODT2TXT.EXE,5,2
226,0,OPENSSL.EXE,5,2
227,0,P11-KIT.EXE,5,2
228,0,PDFTOTEXT.EXE,5,2
229,0,PKCS1-CONV.EXE,5,2
230,0,PROXY-LOOKUP.EXE,5,2
231,0,SCALAR.EXE,5,2
232,0,SEXP-CONV.EXE,5,2
233,0,TCLSH.EXE,5,2
234,0,TCLSH86.EXE,5,2
235,0,TRUST.EXE,5,2
236,0,UNXZ.EXE,5,2
237,0,WHOUSES.EXE,5,2
238,0,WINTOAST.EXE,5,2
239,0,WISH.EXE,5,2
240,0,WISH86.EXE,5,2
241,0,X86_64-W64-MINGW32-AGREP.EXE,5,2
242,0,XMLWF.EXE,5,2
243,0,XZ.EXE,5,2
244,0,XZCAT.EXE,5,2
245,0,XZDEC.EXE,5,2
246,1,GIT.EXE,6,2
247,1,GIT-ADD.EXE,6,2
248,1,GIT-AM.EXE,6,2
249,1,GIT-ANNOTATE.EXE,6,2
250,1,GIT-APPLY.EXE,6,2
251,1,GIT-ARCHIVE.EXE,6,2
252,1,GIT-BISECT--HELPER.EXE,6,2
253,1,GIT-BLAME.EXE,6,2
254,1,GIT-BRANCH.EXE,6,2
255,1,GIT-BUGREPORT.EXE,6,2
256,1,GIT-BUNDLE.EXE,6,2
257,1,GIT-CAT-FILE.EXE,6,2
258,1,GIT-CHECK-ATTR.EXE,6,2
259,1,GIT-CHECK-IGNORE.EXE,6,2
260,1,GIT-CHECK-MAILMAP.EXE,6,2
261,1,GIT-CHECKOUT.EXE,6,2
262,1,GIT-CHECKOUT-INDEX.EXE,6,2
263,1,GIT-CHECKOUT--WORKER.EXE,6,2
264,1,GIT-CHECK-REF-FORMAT.EXE,6,2
265,1,GIT-CHERRY.EXE,6,2
266,1,GIT-CHERRY-PICK.EXE,6,2
267,1,GIT-CLEAN.EXE,6,2
268,1,GIT-CLONE.EXE,6,2
269,1,GIT-COLUMN.EXE,6,2
270,1,GIT-COMMIT.EXE,6,2
271,1,GIT-COMMIT-GRAPH.EXE,6,2
272,1,GIT-COMMIT-TREE.EXE,6,2
273,1,GIT-CONFIG.EXE,6,2
274,1,GIT-COUNT-OBJECTS.EXE,6,2
275,1,GIT-CREDENTIAL.EXE,6,2
276,1,GIT-CREDENTIAL-CACHE.EXE,6,2
277,1,GIT-CREDENTIAL-CACHE--DAEMON.EXE,6,2
278,1,GIT-CREDENTIAL-STORE.EXE,6,2
279,1,GIT-CREDENTIAL-WINCRED.EXE,6,2
280,1,GIT-DAEMON.EXE,6,2
281,1,GIT-DESCRIBE.EXE,6,2
282,1,GIT-DIAGNOSE.EXE,6,2
283,1,GIT-DIFF.EXE,6,2
284,1,GIT-DIFF-FILES.EXE,6,2
285,1,GIT-DIFF-INDEX.EXE,6,2
286,1,GIT-DIFFTOOL.EXE,6,2
287,1,GIT-DIFF-TREE.EXE,6,2
288,1,GIT-ENV--HELPER.EXE,6,2
289,1,GIT-FAST-EXPORT.EXE,6,2
290,1,GIT-FAST-IMPORT.EXE,6,2
291,1,GIT-FETCH.EXE,6,2
292,1,GIT-FETCH-PACK.EXE,6,2
293,1,GIT-FMT-MERGE-MSG.EXE,6,2
294,1,GIT-FOR-EACH-REF.EXE,6,2
295,1,GIT-FOR-EACH-REPO.EXE,6,2
296,1,GIT-FORMAT-PATCH.EXE,6,2
297,1,GIT-FSCK.EXE,6,2
298,1,GIT-FSCK-OBJECTS.EXE,6,2
299,1,GIT-FSMONITOR--DAEMON.EXE,6,2
300,1,GIT-GC.EXE,6,2
301,1,GIT-GET-TAR-COMMIT-ID.EXE,6,2
302,1,GIT-GREP.EXE,6,2
303,1,GIT-HASH-OBJECT.EXE,6,2
304,1,GIT-HELP.EXE,6,2
305,1,GIT-HOOK.EXE,6,2
